"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.401503042E0,-7.115455344E-3,-2.912839130E-2,-4.937895387E-2,5.777000926E-2
1.411527042E0,2.564404858E-4,-2.468677051E-2,-4.226112366E-2,4.894389618E-2
1.421552042E0,1.073880680E-2,-3.288422152E-2,-4.094032198E-2,5.359854439E-2
1.431577042E0,1.782574505E-2,-2.033008263E-2,-4.469138384E-2,5.223398544E-2
1.441602042E0,1.269073971E-2,1.002700068E-2,-3.910474479E-2,4.231756943E-2
1.451626042E0,3.078394802E-4,5.094028078E-3,-2.828272246E-2,2.873945505E-2
1.461651042E0,-8.102667518E-3,-9.122882038E-3,-2.634969167E-2,2.903767293E-2
1.471676042E0,-9.388974868E-3,-1.426597871E-2,-2.832975052E-2,3.307938576E-2
1.481701042E0,-7.997678593E-3,-1.382172666E-2,-2.895829640E-2,3.306941066E-2
1.491726042E0,-1.479619648E-2,-1.073831972E-2,-2.749701962E-2,3.302007009E-2
1.501750042E0,-1.938375644E-2,-7.205630187E-3,-2.738687582E-2,3.431751867E-2
1.511775042E0,-2.223120816E-2,-5.565654952E-3,-2.641748451E-2,3.497265530E-2
1.521800042E0,-3.119944409E-2,9.679381037E-4,-2.654734813E-2,4.097687040E-2
1.531825042E0,-4.241721332E-2,1.493142359E-2,-3.323747218E-2,5.591866373E-2
1.541849042E0,-4.725557938E-2,1.089704409E-2,-3.789389133E-2,6.154496205E-2
1.551874042E0,-4.078702629E-2,-1.262150705E-3,-4.180607945E-2,5.842022609E-2
1.561899042E0,-2.879811265E-2,2.726736013E-3,-4.207805172E-2,5.106200953E-2
1.571924042E0,-6.860856898E-3,-1.337367017E-2,-5.074211583E-2,5.292153370E-2
1.581949042E0,1.185458899E-2,-3.635819256E-2,-4.143307731E-2,5.638394578E-2
1.591973042E0,2.891559899E-2,-3.659041971E-2,-2.148839645E-2,5.134902006E-2
1.601998042E0,4.735891148E-2,-1.261071023E-2,-1.078400761E-2,5.018158357E-2
1.612023042E0,6.143158674E-2,-8.365139365E-6,-1.844112761E-2,6.413980907E-2
1.622048042E0,6.296175718E-2,-5.132691935E-3,-4.032077268E-2,7.494192487E-2
1.632073042E0,6.063814834E-2,-2.841617540E-2,-4.571926966E-2,8.108462047E-2
1.642097042E0,5.382674932E-2,-4.711873457E-2,-3.107254021E-2,7.799356926E-2
1.652122042E0,4.139404744E-2,-3.277334943E-2,-1.781053282E-2,5.572050499E-2
1.662147042E0,1.704873703E-2,5.245820154E-3,-1.055581309E-2,2.072687274E-2
1.672172042E0,-1.096878201E-2,2.132731862E-2,-1.138938311E-2,2.654970332E-2
1.682196042E0,-3.230687231E-2,1.141243801E-2,-1.296305470E-2,3.663357103E-2
1.692221042E0,-3.415244073E-2,8.288816549E-3,-1.299501397E-2,3.746950861E-2
1.702246042E0,-1.959486492E-2,2.553220838E-2,-4.116953351E-4,3.218729391E-2
1.712271042E0,-3.730680328E-3,4.019983485E-2,9.802060202E-3,4.154545802E-2
1.722296042E0,-1.512574381E-3,5.105334148E-2,1.955492049E-2,5.469119191E-2
1.732320042E0,-1.601215452E-2,5.901006982E-2,2.063536644E-2,6.453212983E-2
1.742345042E0,-3.319187462E-2,4.159384966E-2,2.117269114E-2,5.727156118E-2
1.752370042E0,-3.850141913E-2,2.598452941E-2,1.843256503E-2,4.997313775E-2
1.762395042E0,-2.570864186E-2,1.438868977E-2,8.482521400E-3,3.065814457E-2
1.772419042E0,-4.097355995E-3,1.103550382E-2,6.978358142E-4,1.179227058E-2
1.782444042E0,1.286777854E-2,8.997647092E-3,8.062506095E-5,1.570171577E-2
1.792469042E0,1.541402657E-2,3.859876422E-3,-1.583318226E-3,1.596864921E-2
1.802494042E0,9.916995652E-3,-5.489950068E-3,7.530730218E-4,1.136017049E-2
1.812519042E0,2.440437209E-3,-7.805301808E-3,6.609630771E-3,1.051502206E-2
1.822543000E0,-1.292679226E-3,9.627199732E-3,2.937683370E-3,1.014810218E-2
1.832568000E0,-3.262885846E-3,2.658700943E-2,2.094526775E-3,2.686824402E-2
