"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.405802292E0,-4.102967834E-1,1.791923676E0,9.668544159E0,9.841751880E0
2.415782292E0,-4.300556946E-1,1.816173248E0,9.652078400E0,9.830872321E0
2.425761292E0,-4.336482239E-1,1.827399902E0,9.654174042E0,9.835167391E0
2.435740292E0,-4.314028931E-1,1.817071381E0,9.673034821E0,9.851672929E0
2.445719292E0,-4.146377563E-1,1.819017334E0,9.668544159E0,9.846902796E0
2.455698292E0,-4.046086121E-1,1.812131653E0,9.654323730E0,9.831250986E0
2.465677292E0,-3.826043701E-1,1.812580719E0,9.661359100E0,9.837362179E0
2.475656292E0,-3.736230469E-1,1.814826050E0,9.643695831E0,9.820084371E0
2.485635292E0,-4.061054993E-1,1.812131653E0,9.599537659E0,9.777518400E0
2.495614292E0,-4.168830872E-1,1.795216827E0,9.582024078E0,9.757652402E0
2.505593292E0,-4.364923096E-1,1.763333130E0,9.579629059E0,9.750341644E0
2.515572292E0,-3.960763550E-1,1.787283325E0,9.558672638E0,9.732393373E0
2.525552292E0,-3.607498169E-1,1.836381226E0,9.554181976E0,9.735750083E0
2.535531292E0,-3.842509460E-1,1.832788696E0,9.525741119E0,9.708064023E0
2.545510292E0,-4.327500916E-1,1.816472626E0,9.504335632E0,9.686033309E0
2.555489292E0,-4.653822327E-1,1.806593170E0,9.480385437E0,9.662197863E0
2.565468292E0,-4.843927002E-1,1.779649200E0,9.479936371E0,9.657690260E0
2.575447292E0,-4.903802490E-1,1.771566010E0,9.525741119E0,9.701477351E0
2.585426292E0,-4.670288086E-1,1.788929901E0,9.560768280E0,9.737898962E0
2.595405292E0,-4.016148376E-1,1.821112976E0,9.588161316E0,9.767834170E0
2.605384292E0,-3.381468201E-1,1.851050720E0,9.577383728E0,9.760482115E0
2.615363292E0,-3.519181824E-1,1.821562042E0,9.536818085E0,9.715597453E0
2.625343292E0,-3.900888062E-1,1.782942352E0,9.490115204E0,9.664022935E0
2.635322292E0,-4.174818420E-1,1.801204376E0,9.513466644E0,9.691474392E0
2.645301292E0,-4.052073669E-1,1.850451965E0,9.567204895E0,9.752936737E0
2.655280292E0,-4.132905579E-1,1.879341888E0,9.576186218E0,9.767603468E0
2.665259292E0,-3.866459656E-1,1.901196442E0,9.577084351E0,9.771621548E0
2.675238292E0,-3.670367432E-1,1.919907532E0,9.584568787E0,9.781856661E0
2.685217292E0,-3.718267822E-1,1.914219360E0,9.583071899E0,9.779455913E0
2.695196292E0,-4.156855774E-1,1.905537415E0,9.615853729E0,9.811651761E0
2.705175292E0,-4.411326599E-1,1.903890839E0,9.668693848E0,9.864230283E0
2.715154292E0,-4.578977966E-1,1.857786713E0,9.712402954E0,9.899081422E0
2.725133292E0,-4.580474854E-1,1.842368774E0,9.752669220E0,9.935727810E0
2.735112292E0,-3.933819580E-1,1.837728424E0,9.751172333E0,9.930627220E0
2.745092292E0,-3.570075989E-1,1.844314728E0,9.712702332E0,9.892701240E0
2.755071292E0,-3.689826965E-1,1.832938385E0,9.629924469E0,9.809753138E0
2.765050292E0,-3.601510620E-1,1.807640991E0,9.575737152E0,9.751513562E0
2.775029292E0,-3.462300110E-1,1.823807373E0,9.541458435E0,9.720369212E0
2.785008167E0,-3.445834351E-1,1.829944611E0,9.509874115E0,9.690466485E0
2.794987167E0,-3.456312561E-1,1.805545349E0,9.507329407E0,9.683427462E0
2.804966167E0,-3.399430847E-1,1.800455933E0,9.505233765E0,9.680220648E0
2.814945167E0,-3.055146790E-1,1.782044220E0,9.471404114E0,9.642433132E0
2.824924167E0,-2.814147949E-1,1.750759277E0,9.430539093E0,9.595802203E0
2.834903167E0,-2.721340942E-1,1.741179199E0,9.392218781E0,9.556125553E0
2.844882167E0,-2.564167786E-1,1.763931885E0,9.375154266E0,9.543098175E0
2.854862167E0,-2.523751831E-1,1.786834259E0,9.366771698E0,9.539018919E0
2.864841167E0,-2.727328491E-1,1.802102509E0,9.378597107E0,9.554058842E0
2.874820167E0,-2.763253784E-1,1.802850952E0,9.354796600E0,9.530941543E0
2.884799167E0,-2.700384521E-1,1.832189941E0,9.381890259E0,9.562933942E0
2.894778167E0,-3.132984924E-1,1.838626556E0,9.415869598E0,9.598817836E0
2.904757167E0,-3.736230469E-1,1.800306244E0,9.490115204E0,9.666591092E0
2.914736167E0,-3.691323853E-1,1.799707489E0,9.577234039E0,9.751852009E0
2.924715167E0,-3.556604004E-1,1.814376984E0,9.646090851E0,9.821686559E0
2.934694167E0,-3.791615295E-1,1.786983948E0,9.688602448E0,9.859315011E0
2.944673167E0,-3.867956543E-1,1.790426788E0,9.700727234E0,9.872150112E0
2.954652167E0,-3.912863159E-1,1.807341614E0,9.709708557E0,9.884231328E0
2.964632167E0,-4.227209473E-1,1.835183716E0,9.672436066E0,9.854065745E0
2.974611167E0,-4.915777588E-1,1.864073639E0,9.680668945E0,9.870753287E0
2.984590167E0,-5.041516113E-1,1.895208893E0,9.669142914E0,9.866017955E0
2.994569167E0,-5.218148804E-1,1.896256714E0,9.654174042E0,9.852469575E0
